CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
113,DYNEGY INC,76 INDEPENDENCE WAY,,OSWEGO,NY,UNITED STATES,131265919,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
114,DYNEGY KENDALL ENERGY, LLC,1401 COUNTY LINE RD,,MINOOKA,IL,UNITED STATES,60447,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
115,DYNEGY MOSS LANDING, LLC,HIGHWAY 1 AND DOLAN ROAD,MOSS LANDING POWER PLANT,MOSS LANDING,CA,UNITED STATES,95039,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
117,EAST KENTUCKY POWER COOPERATIVE, INC,SPURLOCK POWER STA,,MAYSVILLE,KY,UNITED STATES,41056,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
118,EAST TEXAS ELECTRIC COOPERATIVE,LATER NEW UNIT - HARDIN PEAKING FACILITY,,KOUNTZE,TX,UNITED STATES,77625,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
119,EAST TEXAS ELECTRIC COOPERATIVE, INC,2905 WESTWARD DR,,NACOGDOCHES,TX,UNITED STATES,75964-1231,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
120,EASTMAN COGENERATION LP,CALLAHAN RD 13TH AVE GATE,,LONGVIEW,TX,UNITED STATES,75607,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
121,EDF ENERGY (SUTTON BRIDGE POWER),CENTENARY WAY SUTTON BRIDGE,,SPALDING,LINCOLNSHIRE,UNITED KINGDOM,PE12 9TF,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
122,EDIPOWER SPA,VIA CRISTOFORO COLOMBO 2,,MOGLIA DI SERMIDE,MN,ITALY,46028,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
123,EDISON SPA,STRADA PROVINCIALE 225,,BOFFALORA SOPRA TICINO,MILANO,ITALY,20010,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
124,EDP - ENERGIAS DE PORTUGAL, SA,LARES FREGUESIA DE VILA VERDE,,FIGUEIRA DE FOZ,COIMBRA,PORTUGAL,1070,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
125,EFFINGHAM COUNTY POWER, LLC,3440 MCCALL RD,,RINCON,GA,UNITED STATES,313263815,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
126,ELECTRABEL CENTRALE DAMERCOEUR,RUE CHAUW A ROC 6,,ROUX,,BELGIUM,6044,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
127,ELECTRABEL NEDERLAND NV,ROBBENPLAATWEG 17,,EEMSHAVEN,GRONINGEN,NETHERLANDS,9979 XL,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
